H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11905248_LamaGlama	SRR11905268_LamaGlama	SRR11097120_LamaGlama	168390	168064	0.0009689289	0.0009689289	0.01219092	0.07947957	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11097120_LamaGlama	235641	147231	0.2309127	0.2309127	0.01104659	20.90352	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11097120_LamaGlama	236471	147577	0.2314659	0.2314659	0.01076324	21.50523	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11097120_LamaGlama	236098	146432	0.2344025	0.2344025	0.01068747	21.93247	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905268_LamaGlama	SRR11097120_LamaGlama	221132	136572	0.2363966	0.2363966	0.01036261	22.81244	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905268_LamaGlama	SRR11097120_LamaGlama	230486	145740	0.2252529	0.2252529	0.0103228	21.82092	
SRR11905246_LamaGlama	SRR11905269_LamaGlama	SRR11097120_LamaGlama	163327	164781	-0.004431468	-0.004431468	0.01084919	-0.4084605	
SRR11905247_LamaGlama	SRR11905269_LamaGlama	SRR11097120_LamaGlama	164456	163661	0.002422916	0.002422916	0.0117937	0.2054415	
SRR11905248_LamaGlama	SRR11905269_LamaGlama	SRR11097120_LamaGlama	167467	163974	0.01053883	0.01053883	0.01148943	0.9172629	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905269_LamaGlama	SRR11097120_LamaGlama	237853	146295	0.2383404	0.2383404	0.01086758	21.93132	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905269_LamaGlama	SRR11097120_LamaGlama	238650	146523	0.2391834	0.2391834	0.01080715	22.13196	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905269_LamaGlama	SRR11097120_LamaGlama	238132	145139	0.2426299	0.2426299	0.01053223	23.03691	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905269_LamaGlama	SRR11097120_LamaGlama	222689	134435	0.2471242	0.2471242	0.01018239	24.26977	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905269_LamaGlama	SRR11097120_LamaGlama	232093	144150	0.2337399	0.2337399	0.01017732	22.96674	
SRR11905268_LamaGlama	SRR11905269_LamaGlama	SRR11097120_LamaGlama	164584	161378	0.009835502	0.009835502	0.01154436	0.8519749	
SRR11905246_LamaGlama	SRR11905270_LamaGlama	SRR11097120_LamaGlama	154898	160944	-0.01914248	-0.01914248	0.01102309	-1.73658	
SRR11905247_LamaGlama	SRR11905270_LamaGlama	SRR11097120_LamaGlama	163935	167548	-0.0108995	-0.0108995	0.0121292	-0.8986167	
SRR11905248_LamaGlama	SRR11905270_LamaGlama	SRR11097120_LamaGlama	167708	168572	-0.002569287	-0.002569287	0.01171115	-0.2193882	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905270_LamaGlama	SRR11097120_LamaGlama	236044	148798	0.226706	0.226706	0.01158621	19.56688	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905270_LamaGlama	SRR11097120_LamaGlama	237103	149394	0.2269332	0.2269332	0.01145091	19.81792	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905270_LamaGlama	SRR11097120_LamaGlama	236168	147735	0.2303525	0.2303525	0.01144044	20.13493	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905270_LamaGlama	SRR11097120_LamaGlama	221861	137696	0.2340797	0.2340797	0.01092807	21.42005	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905270_LamaGlama	SRR11097120_LamaGlama	231053	147553	0.2205459	0.2205459	0.01100125	20.04735	
SRR11905268_LamaGlama	SRR11905270_LamaGlama	SRR11097120_LamaGlama	154114	155388	-0.00411629	-0.00411629	0.01085074	-0.3793556	
SRR11905269_LamaGlama	SRR11905270_LamaGlama	SRR11097120_LamaGlama	159841	164340	-0.01387805	-0.01387805	0.01131682	-1.226321	
SRR11905246_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	159562	162131	-0.007985875	-0.007985875	0.010603	-0.7531714	
SRR11905247_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	163644	163863	-0.000668688	-0.000668688	0.01139942	-0.05865983	
SRR11905248_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	167748	165340	0.007229321	0.007229321	0.01132326	0.6384485	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905271_LamaGlama	SRR11097120_LamaGlama	235862	145198	0.2379258	0.2379258	0.01024376	23.22641	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905271_LamaGlama	SRR11097120_LamaGlama	236467	145360	0.2386081	0.2386081	0.01007588	23.68112	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905271_LamaGlama	SRR11097120_LamaGlama	235838	143960	0.2419128	0.2419128	0.009958859	24.29122	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905271_LamaGlama	SRR11097120_LamaGlama	221064	133998	0.2452135	0.2452135	0.009505591	25.79677	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905271_LamaGlama	SRR11097120_LamaGlama	230431	143525	0.2323963	0.2323963	0.009422721	24.6634	
SRR11905268_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	163288	161267	0.006226988	0.006226988	0.01136975	0.5476804	
SRR11905269_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	158829	159912	-0.003397743	-0.003397743	0.009736487	-0.3489701	
SRR11905270_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	144375	140936	0.01205351	0.01205351	0.0110808	1.087783	
SRR11905246_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	144816	228193	-0.2235254	-0.2235254	0.01028263	-21.73816	
SRR11905247_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	146447	227392	-0.2165237	-0.2165237	0.01070394	-20.22842	
SRR11905248_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	149547	227747	-0.2072654	-0.2072654	0.01033405	-20.05656	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	152220	142421	0.03325742	0.03325742	0.00642708	5.174577	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	153018	142787	0.03458697	0.03458697	0.005773933	5.990193	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	151652	140536	0.038044	0.038044	0.00524927	7.247483	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	141824	129929	0.04377137	0.04377137	0.00472321	9.267293	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	145990	139885	0.02135549	0.02135549	0.005107179	4.181465	
SRR11905268_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	146507	225091	-0.2114758	-0.2114758	0.01019241	-20.74837	
SRR11905269_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	144741	226559	-0.2203555	-0.2203555	0.01001684	-21.9985	
SRR11905270_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	147995	225404	-0.2073091	-0.2073091	0.01080158	-19.19247	
SRR11905271_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	144071	224966	-0.2192057	-0.2192057	0.009318081	-23.52476	
SRR11905246_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	157903	157746	0.0004973879	0.0004973879	0.009253539	0.0537511	
SRR11905247_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	158932	156461	0.00783467	0.00783467	0.01004174	0.78021	
SRR11905248_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	162237	157054	0.01623284	0.01623284	0.009703756	1.672841	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	221080	127804	0.2673553	0.2673553	0.007971687	33.53811	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	221894	128025	0.2682592	0.2682592	0.007677157	34.94252	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	221281	126597	0.2721759	0.2721759	0.007259755	37.49106	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	207471	117872	0.2753986	0.2753986	0.006699157	41.10944	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	215154	125616	0.262752	0.262752	0.006583237	39.91228	
SRR11905268_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	160481	155629	0.01534909	0.01534909	0.009512026	1.613651	
SRR11905269_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	158674	156965	0.005414413	0.005414413	0.009226731	0.5868182	
SRR11905270_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	162294	156197	0.0191434	0.0191434	0.009762127	1.960986	
SRR11905271_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	158099	155356	0.008750857	0.008750857	0.008840134	0.9899009	
