H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905269_LamaGlama	SRR11097120_LamaGlama	222226	134568	0.2456824	0.2456824	0.01020922	24.06475	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905269_LamaGlama	SRR11097120_LamaGlama	232508	144362	0.2338897	0.2338897	0.01020971	22.90854	
SRR11905268_LamaGlama	SRR11905269_LamaGlama	SRR11097120_LamaGlama	164629	161433	0.009801817	0.009801817	0.01155293	0.8484266	
SRR11905246_LamaGlama	SRR11905270_LamaGlama	SRR11097120_LamaGlama	155460	161270	-0.0183437	-0.0183437	0.01105912	-1.658694	
SRR11905247_LamaGlama	SRR11905270_LamaGlama	SRR11097120_LamaGlama	164249	168068	-0.01149204	-0.01149204	0.01225786	-0.9375244	
SRR11905248_LamaGlama	SRR11905270_LamaGlama	SRR11097120_LamaGlama	168460	168557	-0.0002878193	-0.0002878193	0.01175685	-0.02448099	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905270_LamaGlama	SRR11097120_LamaGlama	236135	149228	0.2255198	0.2255198	0.01167062	19.32372	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905270_LamaGlama	SRR11097120_LamaGlama	237113	149298	0.227258	0.227258	0.01151161	19.74163	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905270_LamaGlama	SRR11097120_LamaGlama	236617	148363	0.2292431	0.2292431	0.01142945	20.05723	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905270_LamaGlama	SRR11097120_LamaGlama	221881	137941	0.233282	0.233282	0.0109361	21.33138	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905270_LamaGlama	SRR11097120_LamaGlama	231838	147921	0.2209744	0.2209744	0.0109906	20.10577	
SRR11905268_LamaGlama	SRR11905270_LamaGlama	SRR11097120_LamaGlama	154922	155914	-0.003191394	-0.003191394	0.01079551	-0.2956224	
SRR11905269_LamaGlama	SRR11905270_LamaGlama	SRR11097120_LamaGlama	160747	164946	-0.01289251	-0.01289251	0.01123634	-1.147394	
SRR11905246_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	160070	162231	-0.006704912	-0.006704912	0.01042616	-0.6430856	
SRR11905247_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	164006	164312	-0.0009320232	-0.0009320232	0.0113304	-0.08225863	
SRR11905248_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	168382	165038	0.01002939	0.01002939	0.01109632	0.9038488	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905271_LamaGlama	SRR11097120_LamaGlama	235995	145447	0.2373834	0.2373834	0.01029709	23.05345	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905271_LamaGlama	SRR11097120_LamaGlama	236699	145371	0.2390347	0.2390347	0.0101218	23.61583	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905271_LamaGlama	SRR11097120_LamaGlama	236066	144226	0.2414986	0.2414986	0.009999484	24.15111	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905271_LamaGlama	SRR11097120_LamaGlama	220862	133794	0.2454999	0.2454999	0.009503017	25.83389	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905271_LamaGlama	SRR11097120_LamaGlama	230971	143444	0.23377	0.23377	0.009480727	24.65739	
SRR11905268_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	163809	161366	0.007512878	0.007512878	0.01136086	0.6612949	
SRR11905269_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	159238	159891	-0.002046194	-0.002046194	0.009814916	-0.208478	
SRR11905270_LamaGlama	SRR11905271_LamaGlama	SRR11097120_LamaGlama	145214	141748	0.01207825	0.01207825	0.01100876	1.097149	
SRR11905246_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	144471	227666	-0.2235601	-0.2235601	0.01025562	-21.79879	
SRR11905247_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	146274	227623	-0.2175706	-0.2175706	0.01065864	-20.41261	
SRR11905248_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	149915	227381	-0.2053189	-0.2053189	0.01030562	-19.92301	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	151922	142458	0.03214892	0.03214892	0.00639069	5.030588	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	152552	142323	0.03468928	0.03468928	0.005705718	6.079739	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	151000	140265	0.03685647	0.03685647	0.005249984	7.020302	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	141664	130187	0.04221798	0.04221798	0.004788888	8.815821	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	146086	139629	0.02259944	0.02259944	0.005084962	4.444368	
SRR11905268_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	146377	224837	-0.2113606	-0.2113606	0.01016618	-20.79055	
SRR11905269_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	144958	226616	-0.2197624	-0.2197624	0.00999156	-21.9948	
SRR11905270_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	148460	225931	-0.2069254	-0.2069254	0.01073823	-19.26997	
SRR11905271_LamaGlama	SRR11905272_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	144363	225426	-0.2192142	-0.2192142	0.009190132	-23.85322	
SRR11905246_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	157958	157229	0.002312913	0.002312913	0.009328032	0.2479529	
SRR11905247_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	159008	156487	0.007990618	0.007990618	0.009953412	0.8028019	
SRR11905248_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	163384	157091	0.01963648	0.01963648	0.009682863	2.027962	
SRR11905249_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	220981	127707	0.2674999	0.2674999	0.007986613	33.49353	
SRR11905250_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	222179	127857	0.2694637	0.2694637	0.007663859	35.16032	
SRR11905251_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	221530	126729	0.2722141	0.2722141	0.007276763	37.40868	
SRR11905252_LamaGuanicoeGuanicoe	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	207136	117551	0.2759119	0.2759119	0.006705234	41.14873	
SRR11905261_LamaGuanicoeCacsilensis	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	216090	125671	0.2645679	0.2645679	0.006511923	40.62823	
SRR11905268_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	160703	155318	0.01704001	0.01704001	0.009468967	1.799563	
SRR11905269_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	158941	156681	0.007160464	0.007160464	0.009276029	0.7719321	
SRR11905270_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	162905	156436	0.02025734	0.02025734	0.009767985	2.073851	
SRR11905271_LamaGlama	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	158661	155756	0.009239322	0.009239322	0.00884342	1.044768	
SRR11905272_LamaGuanicoeCacsilensis	SRR11905273_LamaGuanicoeCacsilensis	SRR11097120_LamaGlama	209103	125198	0.2509864	0.2509864	0.006030661	41.61838	
SRR11905246_LamaGlama	SRR15966550_LamaGlama	SRR11097120_LamaGlama	164507	163392	0.003400437	0.003400437	0.009907547	0.3432169	
SRR11905247_LamaGlama	SRR15966550_LamaGlama	SRR11097120_LamaGlama	165022	162124	0.00885843	0.00885843	0.0106458	0.8321054	
SRR11905248_LamaGlama	SRR15966550_LamaGlama	SRR11097120_LamaGlama	169920	163190	0.02020354	0.02020354	0.01095993	1.8434	
SRR11905249_LamaGuanicoeGuanicoe	SRR15966550_LamaGlama	SRR11097120_LamaGlama	240782	147303	0.2408725	0.2408725	0.01096918	21.95903	
SRR11905250_LamaGuanicoeGuanicoe	SRR15966550_LamaGlama	SRR11097120_LamaGlama	241491	147142	0.2427715	0.2427715	0.0107284	22.62887	
SRR11905251_LamaGuanicoeGuanicoe	SRR15966550_LamaGlama	SRR11097120_LamaGlama	240892	146013	0.2452256	0.2452256	0.01039038	23.60121	
SRR11905252_LamaGuanicoeGuanicoe	SRR15966550_LamaGlama	SRR11097120_LamaGlama	225719	135809	0.2486944	0.2486944	0.01022139	24.33077	
SRR11905261_LamaGuanicoeCacsilensis	SRR15966550_LamaGlama	SRR11097120_LamaGlama	235899	145257	0.2378081	0.2378081	0.009911978	23.992	
SRR11905268_LamaGlama	SRR15966550_LamaGlama	SRR11097120_LamaGlama	166792	161056	0.01749591	0.01749591	0.01040697	1.681173	
SRR11905269_LamaGlama	SRR15966550_LamaGlama	SRR11097120_LamaGlama	165249	162696	0.007784842	0.007784842	0.01008926	0.7715966	
SRR11905270_LamaGlama	SRR15966550_LamaGlama	SRR11097120_LamaGlama	170274	163464	0.02040523	0.02040523	0.0110877	1.840348	
